SemestreLetivo;Formato;Curso;TotalGeral
2007/1;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;212
2007/2;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;196
2008/1;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;183
2008/2;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;204
2009/1;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;218
2009/2;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;237
2010/1;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;238
2010/2;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;256
2011/1;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;281
2011/2;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;303
2012/1;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;330
2012/2;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;347
2013/1;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;352
2013/2;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;365
2014/1;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;363
2014/2;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;366
2015/1;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;376
2015/2;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;386
2016/1;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;382
2016/2;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;375
2017/1;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;362
2017/2;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;351
2018/1;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;350
2018/2;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;362
2019/1;PRESENCIAL;ENGENHARIA DE PRODUCAO-PRO;364
2003/1;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;225
2003/2;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;226
2004/1;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;228
2004/2;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;230
2005/1;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;218
2005/2;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;227
2006/1;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;231
2006/2;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;239
2007/1;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;243
2007/2;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;251
2008/1;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;247
2008/2;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;267
2009/1;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;277
2009/2;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;291
2010/1;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;298
2010/2;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;313
2011/1;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;322
2011/2;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;334
2012/1;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;351
2012/2;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;363
2013/1;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;362
2013/2;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;357
2014/1;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;363
2014/2;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;376
2015/1;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;373
2015/2;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;379
2016/1;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;380
2016/2;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;389
2017/1;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;383
2017/2;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;367
2018/1;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;368
2018/2;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;374
2019/1;PRESENCIAL;ENGENHARIA GEOLOGICA-GEO;378
2009/1;PRESENCIAL;ENGENHARIA MECANICA-MEC;35
2009/2;PRESENCIAL;ENGENHARIA MECANICA-MEC;69
2010/1;PRESENCIAL;ENGENHARIA MECANICA-MEC;103
2010/2;PRESENCIAL;ENGENHARIA MECANICA-MEC;139
2011/1;PRESENCIAL;ENGENHARIA MECANICA-MEC;170
2011/2;PRESENCIAL;ENGENHARIA MECANICA-MEC;211
2012/1;PRESENCIAL;ENGENHARIA MECANICA-MEC;240
2012/2;PRESENCIAL;ENGENHARIA MECANICA-MEC;263
2013/1;PRESENCIAL;ENGENHARIA MECANICA-MEC;301
2013/2;PRESENCIAL;ENGENHARIA MECANICA-MEC;338
2014/1;PRESENCIAL;ENGENHARIA MECANICA-MEC;363
2014/2;PRESENCIAL;ENGENHARIA MECANICA-MEC;361
2015/1;PRESENCIAL;ENGENHARIA MECANICA-MEC;368
2015/2;PRESENCIAL;ENGENHARIA MECANICA-MEC;358
2016/1;PRESENCIAL;ENGENHARIA MECANICA-MEC;372
2016/2;PRESENCIAL;ENGENHARIA MECANICA-MEC;375
2017/1;PRESENCIAL;ENGENHARIA MECANICA-MEC;368
2017/2;PRESENCIAL;ENGENHARIA MECANICA-MEC;365
2018/1;PRESENCIAL;ENGENHARIA MECANICA-MEC;362
2018/2;PRESENCIAL;ENGENHARIA MECANICA-MEC;357
2019/1;PRESENCIAL;ENGENHARIA MECANICA-MEC;361
2003/1;PRESENCIAL;ENGENHARIA METALURGICA-MET;224
2003/2;PRESENCIAL;ENGENHARIA METALURGICA-MET;244
2004/1;PRESENCIAL;ENGENHARIA METALURGICA-MET;230
2004/2;PRESENCIAL;ENGENHARIA METALURGICA-MET;235
2005/1;PRESENCIAL;ENGENHARIA METALURGICA-MET;234
2005/2;PRESENCIAL;ENGENHARIA METALURGICA-MET;228
2006/1;PRESENCIAL;ENGENHARIA METALURGICA-MET;230
2006/2;PRESENCIAL;ENGENHARIA METALURGICA-MET;239
2007/1;PRESENCIAL;ENGENHARIA METALURGICA-MET;239
2007/2;PRESENCIAL;ENGENHARIA METALURGICA-MET;244
2008/1;PRESENCIAL;ENGENHARIA METALURGICA-MET;242
2008/2;PRESENCIAL;ENGENHARIA METALURGICA-MET;254
2009/1;PRESENCIAL;ENGENHARIA METALURGICA-MET;272
2009/2;PRESENCIAL;ENGENHARIA METALURGICA-MET;294
2010/1;PRESENCIAL;ENGENHARIA METALURGICA-MET;300
2010/2;PRESENCIAL;ENGENHARIA METALURGICA-MET;316
2011/1;PRESENCIAL;ENGENHARIA METALURGICA-MET;320
2011/2;PRESENCIAL;ENGENHARIA METALURGICA-MET;337
2012/1;PRESENCIAL;ENGENHARIA METALURGICA-MET;336
2012/2;PRESENCIAL;ENGENHARIA METALURGICA-MET;334
2013/1;PRESENCIAL;ENGENHARIA METALURGICA-MET;349
2013/2;PRESENCIAL;ENGENHARIA METALURGICA-MET;346
2014/1;PRESENCIAL;ENGENHARIA METALURGICA-MET;345
2014/2;PRESENCIAL;ENGENHARIA METALURGICA-MET;350
2015/1;PRESENCIAL;ENGENHARIA METALURGICA-MET;351
2015/2;PRESENCIAL;ENGENHARIA METALURGICA-MET;336
2016/1;PRESENCIAL;ENGENHARIA METALURGICA-MET;339
2016/2;PRESENCIAL;ENGENHARIA METALURGICA-MET;345
2017/1;PRESENCIAL;ENGENHARIA METALURGICA-MET;323
2017/2;PRESENCIAL;ENGENHARIA METALURGICA-MET;310
2018/1;PRESENCIAL;ENGENHARIA METALURGICA-MET;323
2018/2;PRESENCIAL;ENGENHARIA METALURGICA-MET;305
2019/1;PRESENCIAL;ENGENHARIA METALURGICA-MET;298
2018/1;PRESENCIAL;ENGENHARIA URBANA-URB;36
2018/2;PRESENCIAL;ENGENHARIA URBANA-URB;59
2019/1;PRESENCIAL;ENGENHARIA URBANA-URB;94
