,ANO_SEMESTRE,DISCIPLINA,DESCRICAO,TAXA_DE_APROVACAO,Frequência da matéria,TAXA_REPROVACAO_POR_NOTA,TAXA_REPROVACAO_POR_FALTA,TAXA_DE_TRANCAMENTO,Tipo_de_materia,Escola
114,1998.1.0,FIS212,ESTRUTURA DA MATERIA,0.8481818181818181,22,0.056363636363636366,0.05454545454545456,0.04090909090909091,CANCELADA,
115,1998.2.0,FIS212,ESTRUTURA DA MATERIA,0.8800000000000001,22,0.091,0.029000000000000005,0.0,CANCELADA,
116,1999.1.0,FIS212,ESTRUTURA DA MATERIA,0.8550000000000001,22,0.06125,0.015,0.06625,CANCELADA,
117,1999.2.0,FIS212,ESTRUTURA DA MATERIA,0.8369230769230769,22,0.05538461538461538,0.09692307692307692,0.00923076923076923,CANCELADA,
118,2000.1.0,FIS212,ESTRUTURA DA MATERIA,0.8512500000000001,22,0.028749999999999998,0.0925,0.025,CANCELADA,
119,2000.2.0,FIS212,ESTRUTURA DA MATERIA,0.685,22,0.09,0.14,0.085,CANCELADA,
120,2001.1.0,FIS212,ESTRUTURA DA MATERIA,0.81,22,0.10500000000000001,0.065,0.02,CANCELADA,
121,2001.2.0,FIS212,ESTRUTURA DA MATERIA,0.85,22,0.07,0.07,0.02,CANCELADA,
122,2002.1.0,FIS212,ESTRUTURA DA MATERIA,0.7866666666666667,22,0.15000000000000002,0.043333333333333335,0.02,CANCELADA,
123,2002.2.0,FIS212,ESTRUTURA DA MATERIA,0.765,22,0.185,0.03,0.02,CANCELADA,
124,2003.1.0,FIS212,ESTRUTURA DA MATERIA,0.6966666666666667,22,0.2366666666666667,0.04666666666666667,0.02,CANCELADA,
125,2003.2.0,FIS212,ESTRUTURA DA MATERIA,0.8566666666666666,22,0.11333333333333334,0.03,0.0,CANCELADA,
126,2004.1.0,FIS212,ESTRUTURA DA MATERIA,0.6766666666666667,22,0.21666666666666667,0.06333333333333334,0.03666666666666667,CANCELADA,
127,2004.2.0,FIS212,ESTRUTURA DA MATERIA,0.8766666666666666,22,0.09666666666666668,0.006666666666666667,0.02,CANCELADA,
128,2005.1.0,FIS212,ESTRUTURA DA MATERIA,0.8233333333333334,22,0.05333333333333334,0.06333333333333334,0.06666666666666667,CANCELADA,
129,2005.2.0,FIS212,ESTRUTURA DA MATERIA,0.9,22,0.02666666666666667,0.04,0.03333333333333333,CANCELADA,
130,2006.1.0,FIS212,ESTRUTURA DA MATERIA,0.9133333333333334,22,0.08,0.0,0.006666666666666667,CANCELADA,
131,2006.2.0,FIS212,ESTRUTURA DA MATERIA,0.7649999999999999,22,0.19499999999999998,0.035,0.01,CANCELADA,
132,2007.1.0,FIS212,ESTRUTURA DA MATERIA,0.5,22,0.08333333333333333,0.14,0.2733333333333334,CANCELADA,
133,2007.2.0,FIS212,ESTRUTURA DA MATERIA,0.4466666666666666,22,0.2733333333333334,0.043333333333333335,0.24,CANCELADA,
134,2008.1.0,FIS212,ESTRUTURA DA MATERIA,0.505,22,0.155,0.025,0.315,CANCELADA,
135,2008.2.0,FIS212,ESTRUTURA DA MATERIA,0.48,22,0.47,0.025,0.025,CANCELADA,
136,1998.1.0,FIS213,OSCILACOES E ONDAS,0.8775,24,0.03916666666666667,0.055,0.0275,CANCELADA,
137,1998.2.0,FIS213,OSCILACOES E ONDAS,0.8281818181818181,24,0.06363636363636364,0.06272727272727273,0.045454545454545456,CANCELADA,
138,1999.1.0,FIS213,OSCILACOES E ONDAS,0.755,24,0.16,0.07125000000000001,0.01,CANCELADA,
139,1999.2.0,FIS213,OSCILACOES E ONDAS,0.7706666666666666,24,0.08133333333333331,0.09400000000000001,0.05333333333333333,CANCELADA,
140,2000.1.0,FIS213,OSCILACOES E ONDAS,0.603,24,0.12200000000000003,0.19800000000000004,0.073,CANCELADA,
141,2000.2.0,FIS213,OSCILACOES E ONDAS,0.7866666666666667,24,0.07333333333333333,0.08,0.06,CANCELADA,
142,2001.1.0,FIS213,OSCILACOES E ONDAS,0.7999999999999999,24,0.09999999999999999,0.02666666666666667,0.07333333333333335,CANCELADA,
143,2001.2.0,FIS213,OSCILACOES E ONDAS,0.8524999999999999,24,0.0825,0.035,0.035,CANCELADA,
144,2002.1.0,FIS213,OSCILACOES E ONDAS,0.8699999999999999,24,0.096,0.014000000000000002,0.018,CANCELADA,
145,2002.2.0,FIS213,OSCILACOES E ONDAS,0.7725000000000001,24,0.0975,0.09,0.037500000000000006,CANCELADA,
146,2003.1.0,FIS213,OSCILACOES E ONDAS,0.8125,24,0.14,0.0125,0.03,CANCELADA,
147,2003.2.0,FIS213,OSCILACOES E ONDAS,0.7075,24,0.1775,0.065,0.055,CANCELADA,
148,2004.1.0,FIS213,OSCILACOES E ONDAS,0.8025,24,0.042499999999999996,0.0675,0.08499999999999999,CANCELADA,
149,2004.2.0,FIS213,OSCILACOES E ONDAS,0.8066666666666666,24,0.07666666666666667,0.06,0.06,CANCELADA,
150,2005.1.0,FIS213,OSCILACOES E ONDAS,0.914,24,0.038,0.02,0.026000000000000002,CANCELADA,
151,2005.2.0,FIS213,OSCILACOES E ONDAS,0.9266666666666667,24,0.013333333333333334,0.02666666666666667,0.03333333333333333,CANCELADA,
152,2006.1.0,FIS213,OSCILACOES E ONDAS,0.87,24,0.0325,0.085,0.0125,CANCELADA,
153,2006.2.0,FIS213,OSCILACOES E ONDAS,0.6866666666666666,24,0.26333333333333336,0.013333333333333334,0.03,CANCELADA,
154,2007.1.0,FIS213,OSCILACOES E ONDAS,0.6225,24,0.325,0.0,0.05500000000000001,CANCELADA,
155,2007.2.0,FIS213,OSCILACOES E ONDAS,0.49,24,0.2966666666666667,0.09999999999999999,0.11,CANCELADA,
156,2008.1.0,FIS213,OSCILACOES E ONDAS,0.6025,24,0.22999999999999998,0.1,0.07,CANCELADA,
157,2008.2.0,FIS213,OSCILACOES E ONDAS,0.5733333333333333,24,0.25666666666666665,0.11333333333333334,0.05333333333333334,CANCELADA,
158,2009.1.0,FIS213,OSCILACOES E ONDAS,0.71,24,0.136,0.094,0.06000000000000001,CANCELADA,
159,2009.2.0,FIS213,OSCILACOES E ONDAS,0.5666666666666667,24,0.19000000000000003,0.13333333333333333,0.10666666666666667,CANCELADA,
160,1998.1.0,FIS214,MECANICA RACIONAL,0.735,44,0.1275,0.07750000000000001,0.057499999999999996,OBRIGATORIA,ICEB
161,1998.2.0,FIS214,MECANICA RACIONAL,0.55,44,0.125,0.2625,0.06,OBRIGATORIA,ICEB
162,1999.1.0,FIS214,MECANICA RACIONAL,0.6333333333333333,44,0.17333333333333334,0.07333333333333335,0.11666666666666668,OBRIGATORIA,ICEB
163,1999.2.0,FIS214,MECANICA RACIONAL,0.6766666666666667,44,0.17,0.14,0.011666666666666667,OBRIGATORIA,ICEB
164,2000.1.0,FIS214,MECANICA RACIONAL,0.6466666666666666,44,0.15666666666666668,0.17666666666666667,0.02,OBRIGATORIA,ICEB
165,2000.2.0,FIS214,MECANICA RACIONAL,0.6633333333333334,44,0.15,0.12333333333333334,0.06,OBRIGATORIA,ICEB
166,2001.1.0,FIS214,MECANICA RACIONAL,0.52,44,0.29333333333333333,0.08333333333333333,0.10000000000000002,OBRIGATORIA,ICEB
167,2001.2.0,FIS214,MECANICA RACIONAL,0.6066666666666667,44,0.30333333333333334,0.06,0.03,OBRIGATORIA,ICEB
168,2002.1.0,FIS214,MECANICA RACIONAL,0.7649999999999999,44,0.12000000000000001,0.0525,0.06,OBRIGATORIA,ICEB
