,ANO,DISCIPLINA,DESCRICAO,TAXA_DE_APROVACAO
425,2008,PRO236,ENGENHARIA DE PROCESSOS CONTINUOS,0.84
426,2008,PRO237,TEORIA DAS ORGANIZACOES,0.9
427,2008,PRO239,"ENG. DE PROCESSOS, RISCOS E PREVENCAO DE PERDAS",0.9
428,2008,PRO270,PESQUISA OPERACIONAL I PARA ENGENHARIA,0.92
429,2008,PRO271,PESQUISA OPERACIONAL II PARA ENGENHARIA,0.9550000000000001
430,2008,PRO304,TOPICOS ESPECIAIS EM GERENCIA DA PRODUCAO,1.0
431,2008,PRO307,TOPICOS ESPECIAIS EM PLANEJAMENTO ENERGETICO,0.5
432,2008,PRO314,GERENCIA DE RECURSOS HUMANOS,0.845
433,2008,PRO315,LOGISTICA,0.9299999999999999
434,2008,PRO316,LOGISTICA REVERSA,0.62
435,2008,PRO318,PLANEJAMENTO ESTRATEGICO,0.91
436,2008,PRO320,ANALISE DE INVESTIMENTOS,0.84
437,2008,PRO321,ADMINISTRACAO FINANCEIRA,0.94
438,2008,PRO325,ECONOMIA DE TECNOLOGIA,0.4
439,2008,PRO332,ETICA E ENGENHARIA DE PRODUCAO,0.5
440,2008,PRO336,ECONOMIA DA ENERGIA,0.8
441,2008,PRO397,GESTAO ESTRATEGICA E MARKETING,0.76
442,2008,QUI200,QUIMICA GERAL,0.7124242424242427
443,2009,ARQ700,EXPRESSAO GRAFICA,0.9700000000000001
444,2009,CAT107,INSTALACOES INDUSTRIAIS,1.0
445,2009,CAT700,AUTOMACAO DE SISTEMAS DE PRODUCAO,0.895
446,2009,CIC107,PROGRAMACAO DE COMPUTADORES I,0.6080645161290322
447,2009,CIC108,PROGRAMACAO DE COMPUTADORES II,0.5459999999999999
448,2009,CIC109,ALGORITMOS E ESTRUTURA DE DADOS I,0.5
449,2009,CIC170,CALCULO NUMERICO,0.6467999999999999
450,2009,CIC272,INTELIGENCIA COMPUTACIONAL PARA OTIMIZACAO,0.855
451,2009,CIC370,OTIMIZACAO COMBINATORIA,0.65
452,2009,CIC372,PROGRAMACAO NAO LINEAR,1.0
453,2009,CIC373,FLUXO EM REDES,0.25
454,2009,CIC374,PROGRAMACAO DINAMICA,1.0
455,2009,FIS130,FISICA I,0.662
456,2009,FIS131,FISICA II,0.6900000000000001
457,2009,FIS132,FISICA III,0.5466666666666667
458,2009,FIS133,FISICA IV,0.61
459,2009,FIS210,FISICA TERMICA,0.7175
460,2009,FIS211,ELETROMAGNETISMO,0.6319999999999999
461,2009,FIS213,OSCILACOES E ONDAS,0.65625
462,2009,FIS214,MECANICA RACIONAL,0.6599999999999999
463,2009,FIS215,MECANICA DO CONTINUO,0.62
464,2009,MET247,ENGENHARIA DE PROCESSOS MECANICOS,1.0
465,2009,MET700,CIENCIA DOS MATERIAIS,0.6
466,2009,MTM123,CALCULO DIFERENCIAL E INTEGRAL II,0.46571428571428575
467,2009,MTM124,CALCULO DIFERENCIAL E INTEGRAL III,0.598
468,2009,MTM700,CALCULO DIFERENCIAL E INTEGRAL A,0.45125000000000004
469,2009,MTM702,CALCULO DIFERENCIAL E INTEGRAL B,0.605
